collecTime;ORIGEN;idSite;id;Device;description;formattedValue;rawValue;nombre;rounded_collecTime
2024-07-29 04:15:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:15:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;grid_frequency;Meter-1;Grid frequency;50.02 Hz;50.02;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;meter_i;Meter-1;Phase A current of grid (IA);-2.14 A;-2.14;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;meter_u;Meter-1;Phase A voltage (AC output);216.6 V;216.6;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;pv1_u;Inversor;PV1 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;pv2_u;Inversor;PV2 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;elec_freq;Inversor;Grid frequency;50.0 Hz;50.0;Casa Melipilla;2024-07-29 04:15:00
2024-07-29 04:20:00;Fusión solar;NE=33781459;a_i;Inversor;Phase A current of grid (IA);0.259 A;0.259;Casa Melipilla;2024-07-29 04:15:00
